TAI-UT1: IERS A/B via Astropy including forecast for about a year
(A3,2X,I5,6(I7,1X),1X,I2)        2                  6  5           1.E-4
     55004 337629  337646  337670  337654  337651  337662 
     55034 337659  337689  337694  337687  337713  337723 
     55064 337743  337781  337786  337814  337854  337873 
     55094 337933  337964  337988  338050  338090  338139 
     55124 338201  338230  338282  338336  338373  338433 
     55154 338464  338497  338560  338600  338656  338708 
     55184 338740  338798  338847  338874  338937  338961 
     55214 338986  339036  339071  339140  339211  339244 
     55244 339304  339372  339431  339526  339576  339626 
     55274 339685  339720  339790  339863  339909  339980 
     55304 340048  340110  340199  340244  340277  340334 
     55334 340372  340444  340498  340522  340557  340573 
     55364 340585  340604  340579  340568  340563  340536 
     55394 340544  340534  340502  340495  340477  340479 
     55424 340506  340491  340497  340509  340508  340550 
     55454 340565  340565  340587  340599  340635  340711 
     55484 340752  340806  340855  340887  340962  341017 
     55514 341053  341109  341140  341187  341244  341268 
     55544 341303  341327  341340  341389  341409  341426 
     55574 341455  341472  341508  341552  341571  341607 
     55604 341635  341664  341738  341774  341812  341867 
     55634 341904  341962  342027  342075  342147  342200 
     55664 342245  342321  342369  342417  342468  342511 
     55694 342582  342660  342702  342749  342784  342819 
     55724 342873  342892  342909  342917  342906  342921 
     55754 342925  342913  342922  342916  342911  342940 
     55784 342936  342940  342947  342942  342979  343009 
     55814 343023  343055  343079  343124  343205  343255 
     55844 343320  343375  343404  343467  343526  343577 
     55874 343644  343683  343732  343804  343846  343900 
     55904 343939  343972  344037  344090  344147  344214 
     55934 344255  344310  344377  344417  344471  344504 
     55964 344533  344600  344643  344682  344718  344735 
     55994 344777  344846  344908  344984  345042  345099 
     56024 345187  345248  345309  345368  345410  345463 
     56054 345529  345575  345627  345658  345685  345739 
     56084 345780  345821  345848  345848  345857  345867 
     56114 345861  345873  345862  345863  345889  345898 
     56144 345921  345934  345928  345948  345971  345990 
     56174 346030  346047  346076  346143  346181  346239 
     56204 346287  346316  346376  346437  346480  346536 
     56234 346575  346623  346695  346762  346847  346912 
     56264 346958  347022  347081  347132  347177  347203 
     56294 347239  347296  347343  347413  347472  347529 
     56324 347603  347659  347718  347776  347811  347871 
     56354 347955  348031  348123  348198  348259  348347 
     56384 348434  348519  348605  348663  348733  348820 
     56414 348891  348974  349035  349084  349155  349215 
     56444 349261  349290  349298  349322  349362  349394 
     56474 349426  349421  349413  349431  349446  349470 
     56504 349491  349491  349507  349529  349553  349594 
     56534 349613  349632  349676  349712  349767  349822 
     56564 349860  349912  349974  350033  350106  350152 
     56594 350206  350279  350340  350407  350469  350514 
     56624 350578  350645  350707  350771  350809  350852 
     56654 350920  350983  351050  351095  351126  351182 
     56684 351239  351297  351358  351390  351436  351504 
     56714 351564  351656  351734  351788  351850  351908 
     56744 351981  352065  352127  352190  352260  352323 
     56774 352414  352491  352548  352618  352674  352738 
     56804 352799  352826  352852  352888  352923  352978 
     56834 353007  353019  353042  353060  353094  353128 
     56864 353132  353145  353161  353170  353208  353229 
     56894 353239  353261  353287  353334  353385  353416 
     56924 353458  353499  353540  353614  353670  353719 
     56954 353783  353836  353903  353977  354023  354077 
     56984 354135  354188  354259  354315  354369  354432 
     57014 354483  354549  354609  354643  354693  354749 
     57044 354808  354880  354925  354979  355044  355102 
     57074 355183  355251  355295  355354  355423  355504 
     57104 355613  355695  355764  355827  355893  355986 
     57134 356062  356117  356185  356241  356306  356398 
     57164 356464  356516  356562  356596  356646  356678 
     57194 356693  356730  356766  356810  356873  356903 
     57224 356927  356952  356974  357028  357073  357106 
     57254 357147  357187  357245  357330  357388  357446 
     57284 357509  357572  357669  357748  357814  357895 
     57314 357968  358055  358165  358244  358320  358395 
     57344 358466  358551  358630  358707  358790  358866 
     57374 358946  359041  359114  359204  359299  359389 
     57404 359496  359584  359664  359737  359799  359888 
     57434 359981  360049  360134  360220  360313  360433 
     57464 360535  360632  360734  360825  360926  361037 
     57494 361119  361203  361278  361348  361450  361535 
     57524 361612  361694  361765  361845  361928  361981 
     57554 362024  362046  362065  362115  362153  362181 
     57584 362200  362201  362220  362247  362269  362304 
     57614 362327  362353  362406  362443  362482  362528 
     57644 362564  362624  362691  362749  362817  362869 
     57674 362932  363031  363108  363180  363252  363317 
     57704 363411  363501  363568  363645  363709  363776 
     57734 363862  363928  363991  364045  364087  364156 
     57764 364227  364289  364349  364393  364444  364515 
     57794 364577  364657  364724  364774  364847  364917 
     57824 364987  365066  365125  365201  365295  365366 
     57854 365446  365522  365597  365698  365783  365855 
     57884 365927  365980  366041  366122  366180  366246 
     57914 366286  366307  366343  366372  366399  366422 
     57944 366427  366448  366476  366492  366525  366538 
     57974 366547  366578  366594  366616  366634  366640 
     58004 366668  366711  366746  366799  366831  366863 
     58034 366916  366958  367014  367077  367121  367180 
     58064 367250  367308  367379  367422  367461  367530 
     58094 367593  367663  367715  367742  367783  367836 
     58124 367877  367911  367919  367932  367976  368023 
     58154 368099  368161  368200  368252  368302  368347 
     58184 368405  368443  368488  368549  368596  368659 
     58214 368711  368746  368798  368855  368914  368984 
     58244 369024  369063  369115  369146  369194  369227 
     58274 369244  369279  369307  369322  369329  369300 
     58304 369277  369281  369283  369306  369307  369300 
     58334 369311  369317  369337  369356  369350  369355 
     58364 369372  369382  369425  369441  369451  369491 
     58394 369529  369582  369642  369669  369709  369770 
     58424 369815  369878  369919  369959  370023  370078 
     58454 370138  370182  370203  370240  370282  370311 
     58484 370362  370391  370411  370450  370490  370551 
     58514 370606  370633  370682  370740  370795  370866 
     58544 370897  370929  370980  371021  371090  371153 
     58574 371192  371250  371307  371352  371419  371450 
     58604 371486  371533  371564  371615  371656  371669 
     58634 371695  371714  371726  371753  371747  371744 
     58664 371745  371723  371721  371698  371657  371635 
     58694 371613  371599  371605  371573  371552  371543 
     58724 371528  371548  371551  371534  371533  371516 
     58754 371518  371539  371520  371516  371531  371538 
     58784 371577  371592  371598  371629  371644  371663 
     58814 371698  371701  371714  371726  371720  371747 
     58844 371762  371772  371793  371789  371808  371852 
     58874 371872  371905  371928  371938  371981  371991 
     58904 372013  372050  372077  372132  372188  372206 
     58934 372231  372250  372273  372346  372379  372395 
     58964 372417  372422  372457  372497  372508  372532 
     58994 372541  372537  372561  372546  372516  372490 
     59024 372436  372408  372375  372313  372261  372197 
     59054 372140  372111  372061  372030  372004  371952 
     59084 371932  371901  371844  371813  371775  371756 
     59114 371770  371750  371732  371721  371694  371715 
     59144 371731  371738  371753  371750  371755  371790 
     59174 371782  371789  371790  371775  371797  371797 
     59204 371783  371785  371760  371744  371749  371725 
     59234 371712  371694  371667  371688  371693  371702 
     59264 371720  371698  371698  371720  371710  371722 
     59294 371717  371706  371737  371744  371758  371779 
     59324 371778  371800  371834  371824  371833  371828 
     59354 371821  371850  371846  371837  371826  371784 
     59384 371762  371747  371690  371652  371590  371530 
     59414 371512  371475  371447  371418  371368  371338 
     59444 371307  371256  371229  371183  371146  371143 
     59474 371108  371093  371080  371047  371050  371057 
